scorer,,,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa,Parsa
bodyparts,,,Point1,Point1,Point2,Point2,Point3,Point3,Point4,Point4,Point5,Point5,Point6,Point6,Point7,Point7,Point8,Point8,Point9,Point9,Point10,Point10,Point11,Point11,Point12,Point12,Eye1,Eye1,Eye2,Eye2,Eye3,Eye3,Eye4,Eye4
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,210708102517-0,img000000.png,394.62478238857267,129.10551463055788,436.04922617917543,169.79678242486682,452.17909809764024,227.71768613208133,440.08169415879166,281.2395338615327,395.3579583848665,327.42962162804554,309.5763668184855,342.0931415539227,260.08698706865033,315.6988056873439,231.8597112113369,272.07483390785956,224.16136325025144,220.01933817099584,235.5255911928062,175.2956023970707,270.7180390149112,138.27021458423104,334.13776269432964,117.00811069170925,538.3272776621682,286.3717658355897,294.54625889446146,371.42018140567683,194.83432339849725,222.95204215617127,342.9358746498559,94.27965480659975
labeled-data,210708102517-0,img000001.png,394.62478238857267,129.10551463055788,436.04922617917543,169.79678242486682,452.17909809764024,227.71768613208133,440.08169415879166,281.2395338615327,395.3579583848665,327.42962162804554,309.5763668184855,342.0931415539227,260.08698706865033,315.6988056873439,231.8597112113369,272.07483390785956,224.16136325025144,220.01933817099584,235.5255911928062,175.2956023970707,270.7180390149112,138.27021458423104,334.13776269432964,117.00811069170925,538.3272776621682,286.3717658355897,294.54625889446146,371.42018140567683,194.83432339849725,222.95204215617127,342.9358746498559,94.27965480659975
labeled-data,210708102517-0,img000002.png,394.62478238857267,129.10551463055788,436.04922617917543,169.79678242486682,452.17909809764024,227.71768613208133,440.08169415879166,281.2395338615327,395.3579583848665,327.42962162804554,309.5763668184855,342.0931415539227,260.08698706865033,315.6988056873439,231.8597112113369,272.07483390785956,224.16136325025144,220.01933817099584,235.5255911928062,175.2956023970707,270.7180390149112,138.27021458423104,334.13776269432964,117.00811069170925,538.3272776621682,286.3717658355897,294.54625889446146,371.42018140567683,194.83432339849725,222.95204215617127,342.9358746498559,94.27965480659975
labeled-data,210708102517-0,img000003.png,394.62478238857267,129.10551463055788,436.04922617917543,169.79678242486682,452.17909809764024,227.71768613208133,440.08169415879166,281.2395338615327,395.3579583848665,327.42962162804554,309.5763668184855,342.0931415539227,260.08698706865033,315.6988056873439,231.8597112113369,272.07483390785956,224.16136325025144,220.01933817099584,235.5255911928062,175.2956023970707,270.7180390149112,138.27021458423104,334.13776269432964,117.00811069170925,538.3272776621682,286.3717658355897,294.54625889446146,371.42018140567683,194.83432339849725,222.95204215617127,342.9358746498559,94.27965480659975
labeled-data,210708102517-0,img000004.png,394.62478238857267,129.10551463055788,436.04922617917543,169.79678242486682,452.17909809764024,227.71768613208133,440.08169415879166,281.2395338615327,395.3579583848665,327.42962162804554,309.5763668184855,342.0931415539227,260.08698706865033,315.6988056873439,231.8597112113369,272.07483390785956,224.16136325025144,220.01933817099584,235.5255911928062,175.2956023970707,270.7180390149112,138.27021458423104,334.13776269432964,117.00811069170925,538.3272776621682,286.3717658355897,294.54625889446146,371.42018140567683,194.83432339849725,222.95204215617127,342.9358746498559,94.27965480659975
labeled-data,210708102517-0,img006096.png,408.9217143163028,122.87351866206012,458.0445060679911,168.33043043227912,474.5409659846028,229.55062612281597,457.3113300716972,293.3369378003813,410.38806630889053,336.2277335835718,329.00553072027265,350.15807751315504,273.6507430000866,327.42962162804554,238.09170717983466,278.30682987635726,228.56041922801455,225.15157014505283,244.3237031483324,171.26313441745452,284.6483829444944,129.8386906268517,346.23516663317827,113.34223071024002,544.5592736306659,283.4390618504143,314.34201079439555,367.0211254279137,199.5999673744073,218.55298617840813,353.20033859796985,96.84577079362828
labeled-data,210708102517-0,img006097.png,408.9217143163028,122.87351866206012,458.0445060679911,168.33043043227912,474.5409659846028,229.55062612281597,457.3113300716972,293.3369378003813,410.38806630889053,336.2277335835718,329.00553072027265,350.15807751315504,273.6507430000866,327.42962162804554,238.09170717983466,278.30682987635726,228.56041922801455,225.15157014505283,244.3237031483324,171.26313441745452,284.6483829444944,129.8386906268517,346.23516663317827,113.34223071024002,544.5592736306659,283.4390618504143,314.34201079439555,367.0211254279137,199.5999673744073,218.55298617840813,353.20033859796985,96.84577079362828
labeled-data,210708102517-0,img006098.png,408.9217143163028,122.87351866206012,458.0445060679911,168.33043043227912,474.5409659846028,229.55062612281597,457.3113300716972,293.3369378003813,410.38806630889053,336.2277335835718,329.00553072027265,350.15807751315504,273.6507430000866,327.42962162804554,238.09170717983466,278.30682987635726,228.56041922801455,225.15157014505283,244.3237031483324,171.26313441745452,284.6483829444944,129.8386906268517,346.23516663317827,113.34223071024002,544.5592736306659,283.4390618504143,314.34201079439555,367.0211254279137,199.5999673744073,218.55298617840813,353.20033859796985,96.84577079362828
labeled-data,210708102517-0,img006099.png,408.9217143163028,122.87351866206012,458.0445060679911,168.33043043227912,474.5409659846028,229.55062612281597,457.3113300716972,293.3369378003813,410.38806630889053,336.2277335835718,329.00553072027265,350.15807751315504,273.6507430000866,327.42962162804554,238.09170717983466,278.30682987635726,228.56041922801455,225.15157014505283,244.3237031483324,171.26313441745452,284.6483829444944,129.8386906268517,346.23516663317827,113.34223071024002,544.5592736306659,283.4390618504143,314.34201079439555,367.0211254279137,199.5999673744073,218.55298617840813,353.20033859796985,96.84577079362828
labeled-data,210708102517-0,img006100.png,408.9217143163028,122.87351866206012,458.0445060679911,168.33043043227912,474.5409659846028,229.55062612281597,457.3113300716972,293.3369378003813,410.38806630889053,336.2277335835718,329.00553072027265,350.15807751315504,273.6507430000866,327.42962162804554,238.09170717983466,278.30682987635726,228.56041922801455,225.15157014505283,244.3237031483324,171.26313441745452,284.6483829444944,129.8386906268517,346.23516663317827,113.34223071024002,544.5592736306659,283.4390618504143,314.34201079439555,367.0211254279137,199.5999673744073,218.55298617840813,353.20033859796985,96.84577079362828
labeled-data,210708102517-0,img011872.png,329.3721187184196,155.13326249898972,356.1330425831453,188.4927703303601,361.6318625553492,232.48333010799138,340.00317066468045,279.773181868945,302.9777828518408,303.6014017484953,263.75286705011956,294.4367017948221,240.65782316686318,273.5411859004472,227.4606552335738,246.04708603942768,225.2611272446922,212.3209902099104,238.4582951779816,178.22830638224616,263.01969105382574,156.96620248972437,297.11237488149,149.26785452863885,538.693865660315,276.47388988562267,283.9152069482006,362.98865744829754,186.4027994411179,244.58073404683998,343.66905064614974,96.84577079362828
labeled-data,210708102517-0,img011873.png,329.3721187184196,155.13326249898972,356.1330425831453,188.4927703303601,361.6318625553492,232.48333010799138,340.00317066468045,279.773181868945,302.9777828518408,303.6014017484953,263.75286705011956,294.4367017948221,240.65782316686318,273.5411859004472,227.4606552335738,246.04708603942768,225.2611272446922,212.3209902099104,238.4582951779816,178.22830638224616,263.01969105382574,156.96620248972437,297.11237488149,149.26785452863885,538.693865660315,276.47388988562267,283.9152069482006,362.98865744829754,186.4027994411179,244.58073404683998,343.66905064614974,96.84577079362828
